semestre,codigo,disciplina,turma,turma_url,docentes,horario,padrao_dias,cursos_busca,compartilhada_busca_cc_si,codigos_cursos_com_vagas,compartilhada_vagas_cc_si,vagas,inscritos,vagas_cc,inscritos_cc,vagas_si,inscritos_si,vagas_outros_cursos,inscritos_outros_cursos,vagas_por_curso_json,fonte
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,V1,/graduacao/quadrodehorarios/turmas/100000452661,,Sab 14:00-18:00,Sab,SI,False,83,False,1,1,0,0,1,1,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00003,PROJETO DE APLICAÇÃO II,A1,/graduacao/quadrodehorarios/turmas/100000451019,,Sab 08:00-12:00,Sab,SI,False,83,False,85,70,0,0,85,70,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":85,""vagas_vestibulando"":0,""vagas"":85,""inscritos_regular"":70,""inscritos_vestibulando"":0,""inscritos"":70}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,A1,/graduacao/quadrodehorarios/turmas/100000451007,,Sex 18:00-20:00,Sex,SI,False,31;83,True,71,64,2,1,69,63,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":8,""vagas_vestibulando"":61,""vagas"":69,""inscritos_regular"":5,""inscritos_vestibulando"":58,""inscritos"":63},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00005,ATIVIDADES COMPLEMENTARES II,A1,/graduacao/quadrodehorarios/turmas/100000450154,,Sab 12:00-14:00,Sab,SI,False,83,False,75,63,0,0,75,63,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":75,""vagas_vestibulando"":0,""vagas"":75,""inscritos_regular"":63,""inscritos_vestibulando"":0,""inscritos"":63}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00140,ÁLGEBRA LINEAR,B1,/graduacao/quadrodehorarios/turmas/100000450688,,Seg 09:00-11:00; Qua 09:00-11:00,Seg-Qua,CC,False,31,False,60,52,60,52,0,0,0,0,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":58,""vagas_vestibulando"":2,""vagas"":60,""inscritos_regular"":51,""inscritos_vestibulando"":1,""inscritos"":52}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00140,ÁLGEBRA LINEAR,K1,/graduacao/quadrodehorarios/turmas/100000450696,,Seg 16:00-18:00; Qua 16:00-18:00,Seg-Qua,CC;SI,True,27;31;37;38;40;41;42;43;50;51;56;83,True,60,57,30,28,2,2,28,27,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""43"",""curso"":""Engenharia Agrícola e Ambiental"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""38"",""curso"":""Engenharia Elétrica"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":30,""vagas_vestibulando"":0,""vagas"":30,""inscritos_regular"":28,""inscritos_vestibulando"":0,""inscritos"":28},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""42"",""curso"":""Engenharia de Produção"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""37"",""curso"":""Engenharia Civil"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""56"",""curso"":""Eng. de Recursos Hídricos e Meio Ambiente"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""27"",""curso"":""Engenharia Química"",""vagas_regular"":11,""vagas_vestibulando"":0,""vagas"":11,""inscritos_regular"":11,""inscritos_vestibulando"":0,""inscritos"":11},{""codigo_curso"":""51"",""curso"":""Engenharia de Petróleo"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""50"",""curso"":""Geofísica"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3},{""codigo_curso"":""40"",""curso"":""Engenharia Mecânica"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00144,COMPLEMENTOS DE MATEMÁTICA APLICADA,C1,/graduacao/quadrodehorarios/turmas/100000450702,,Seg 16:00-18:00; Qua 16:00-18:00,Seg-Qua,SI,False,22;23;48;83;95,False,60,28,0,0,15,12,45,16,"[{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":28,""vagas_vestibulando"":0,""vagas"":28,""inscritos_regular"":7,""inscritos_vestibulando"":0,""inscritos"":7},{""codigo_curso"":""22"",""curso"":""Ciências Contábeis"",""vagas_regular"":11,""vagas_vestibulando"":0,""vagas"":11,""inscritos_regular"":7,""inscritos_vestibulando"":0,""inscritos"":7},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":15,""vagas_vestibulando"":0,""vagas"":15,""inscritos_regular"":12,""inscritos_vestibulando"":0,""inscritos"":12},{""codigo_curso"":""95"",""curso"":""Ciência Ambiental"",""vagas_regular"":4,""vagas_vestibulando"":0,""vagas"":4,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""48"",""curso"":""Biomedicina"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00144,COMPLEMENTOS DE MATEMÁTICA APLICADA,D1,/graduacao/quadrodehorarios/turmas/100000450703,,Seg 16:00-18:00; Qua 16:00-18:00,Seg-Qua,SI,False,117;22;23;83,False,60,39,0,0,7,0,53,39,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":7,""vagas_vestibulando"":0,""vagas"":7,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""22"",""curso"":""Ciências Contábeis"",""vagas_regular"":4,""vagas_vestibulando"":44,""vagas"":48,""inscritos_regular"":1,""inscritos_vestibulando"":37,""inscritos"":38},{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":4,""vagas_vestibulando"":0,""vagas"":4,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""117"",""curso"":""Administração Pública"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00144,COMPLEMENTOS DE MATEMÁTICA APLICADA,F1,/graduacao/quadrodehorarios/turmas/100000450705,,Seg 18:00-20:00; Qua 18:00-20:00,Seg-Qua,SI,False,48;83;95,False,60,34,0,0,57,32,3,2,"[{""codigo_curso"":""95"",""curso"":""Ciência Ambiental"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""48"",""curso"":""Biomedicina"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":52,""vagas_vestibulando"":5,""vagas"":57,""inscritos_regular"":31,""inscritos_vestibulando"":1,""inscritos"":32}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00144,COMPLEMENTOS DE MATEMÁTICA APLICADA,G1,/graduacao/quadrodehorarios/turmas/100000450706,,Seg 20:00-22:00; Qua 20:00-22:00,Seg-Qua,SI,False,23;83;95,False,60,52,0,0,17,15,43,37,"[{""codigo_curso"":""95"",""curso"":""Ciência Ambiental"",""vagas_regular"":0,""vagas_vestibulando"":1,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":17,""vagas_vestibulando"":0,""vagas"":17,""inscritos_regular"":15,""inscritos_vestibulando"":0,""inscritos"":15},{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":42,""vagas_vestibulando"":0,""vagas"":42,""inscritos_regular"":37,""inscritos_vestibulando"":0,""inscritos"":37}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00166,LÓGICA PARA A CIÊNCIA DA COMPUTAÇÃO,A1,/graduacao/quadrodehorarios/turmas/100000450726,,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,CC,False,31;54,False,60,50,55,47,0,0,5,3,"[{""codigo_curso"":""54"",""curso"":""Estatística"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":53,""vagas_vestibulando"":2,""vagas"":55,""inscritos_regular"":45,""inscritos_vestibulando"":2,""inscritos"":47}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00166,LÓGICA PARA A CIÊNCIA DA COMPUTAÇÃO,B1,/graduacao/quadrodehorarios/turmas/100000450728,,Ter 14:00-16:00; Qui 14:00-16:00,Ter-Qui,CC,False,31;54,False,60,55,55,51,0,0,5,4,"[{""codigo_curso"":""54"",""curso"":""Estatística"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":4,""inscritos_vestibulando"":0,""inscritos"":4},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":55,""vagas_vestibulando"":0,""vagas"":55,""inscritos_regular"":51,""inscritos_vestibulando"":0,""inscritos"":51}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00167,MATEMÁTICA DISCRETA,A1,/graduacao/quadrodehorarios/turmas/100000450729,,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,CC,False,123;31;37;38;41;97,False,43,35,18,14,0,0,25,21,"[{""codigo_curso"":""38"",""curso"":""Engenharia Elétrica"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""123"",""curso"":""Inteligência Artificial e Ciência de Dados"",""vagas_regular"":0,""vagas_vestibulando"":20,""vagas"":20,""inscritos_regular"":0,""inscritos_vestibulando"":17,""inscritos"":17},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":18,""vagas_vestibulando"":0,""vagas"":18,""inscritos_regular"":14,""inscritos_vestibulando"":0,""inscritos"":14},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":0,""vagas_vestibulando"":1,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":1,""inscritos"":1},{""codigo_curso"":""37"",""curso"":""Engenharia Civil"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""97"",""curso"":""Disciplina Isolada"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00167,MATEMÁTICA DISCRETA,B1,/graduacao/quadrodehorarios/turmas/100000450730,,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,CC,False,31,False,50,47,50,47,0,0,0,0,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":4,""vagas_vestibulando"":46,""vagas"":50,""inscritos_regular"":2,""inscritos_vestibulando"":45,""inscritos"":47}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GAN00167,MATEMÁTICA DISCRETA,C1,/graduacao/quadrodehorarios/turmas/100000450731,,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,CC,False,31,False,26,17,26,17,0,0,0,0,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":25,""vagas_vestibulando"":1,""vagas"":26,""inscritos_regular"":16,""inscritos_vestibulando"":1,""inscritos"":17}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GET00116,FUNDAMENTOS DE ESTATISTICA APLICADA,C2,/graduacao/quadrodehorarios/turmas/100000449849,,Seg 16:00-18:00; Qua 16:00-18:00,Seg-Qua,SI,False,117;23;83,False,59,51,0,0,9,7,50,44,"[{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":24,""vagas_vestibulando"":0,""vagas"":24,""inscritos_regular"":21,""inscritos_vestibulando"":0,""inscritos"":21},{""codigo_curso"":""117"",""curso"":""Administração Pública"",""vagas_regular"":26,""vagas_vestibulando"":0,""vagas"":26,""inscritos_regular"":23,""inscritos_vestibulando"":0,""inscritos"":23},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":8,""vagas_vestibulando"":1,""vagas"":9,""inscritos_regular"":7,""inscritos_vestibulando"":0,""inscritos"":7}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GET00116,FUNDAMENTOS DE ESTATISTICA APLICADA,E1,/graduacao/quadrodehorarios/turmas/100000449852,,Seg 20:00-22:00; Qua 20:00-22:00,Seg-Qua,SI,False,20;24;83,False,58,40,0,0,44,33,14,7,"[{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":13,""vagas_vestibulando"":0,""vagas"":13,""inscritos_regular"":6,""inscritos_vestibulando"":0,""inscritos"":6},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":43,""vagas_vestibulando"":1,""vagas"":44,""inscritos_regular"":32,""inscritos_vestibulando"":1,""inscritos"":33},{""codigo_curso"":""24"",""curso"":""Psicologia"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GET00116,FUNDAMENTOS DE ESTATISTICA APLICADA,G1,/graduacao/quadrodehorarios/turmas/100000450655,,Ter 16:00-18:00; Qui 16:00-18:00,Ter-Qui,SI,False,117;20;22;23;29;50;59;83;95,False,60,49,0,0,5,5,55,44,"[{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3},{""codigo_curso"":""95"",""curso"":""Ciência Ambiental"",""vagas_regular"":9,""vagas_vestibulando"":0,""vagas"":9,""inscritos_regular"":9,""inscritos_vestibulando"":0,""inscritos"":9},{""codigo_curso"":""50"",""curso"":""Geofísica"",""vagas_regular"":4,""vagas_vestibulando"":0,""vagas"":4,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3},{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""117"",""curso"":""Administração Pública"",""vagas_regular"":7,""vagas_vestibulando"":0,""vagas"":7,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5},{""codigo_curso"":""22"",""curso"":""Ciências Contábeis"",""vagas_regular"":17,""vagas_vestibulando"":0,""vagas"":17,""inscritos_regular"":16,""inscritos_vestibulando"":0,""inscritos"":16},{""codigo_curso"":""29"",""curso"":""Química Industrial"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":4,""inscritos_vestibulando"":0,""inscritos"":4},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5},{""codigo_curso"":""59"",""curso"":""Relações Internacionais"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GET00116,FUNDAMENTOS DE ESTATISTICA APLICADA,H1,/graduacao/quadrodehorarios/turmas/100000449854,,Ter 18:00-20:00; Qui 18:00-20:00,Ter-Qui,SI,False,20;44;50;83;95;96,False,60,46,0,0,5,5,55,41,"[{""codigo_curso"":""95"",""curso"":""Ciência Ambiental"",""vagas_regular"":3,""vagas_vestibulando"":1,""vagas"":4,""inscritos_regular"":2,""inscritos_vestibulando"":1,""inscritos"":3},{""codigo_curso"":""44"",""curso"":""Ciências Biológicas"",""vagas_regular"":23,""vagas_vestibulando"":0,""vagas"":23,""inscritos_regular"":18,""inscritos_vestibulando"":0,""inscritos"":18},{""codigo_curso"":""50"",""curso"":""Geofísica"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5},{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5},{""codigo_curso"":""96"",""curso"":""Desenho Industrial"",""vagas_regular"":21,""vagas_vestibulando"":0,""vagas"":21,""inscritos_regular"":13,""inscritos_vestibulando"":0,""inscritos"":13}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GET00116,FUNDAMENTOS DE ESTATISTICA APLICADA,I1,/graduacao/quadrodehorarios/turmas/100000449857,,Ter 20:00-22:00; Qui 20:00-22:00,Ter-Qui,SI,False,117;20;22;23;44;50;59;83,False,57,38,0,0,7,5,50,33,"[{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":8,""vagas_vestibulando"":0,""vagas"":8,""inscritos_regular"":8,""inscritos_vestibulando"":0,""inscritos"":8},{""codigo_curso"":""59"",""curso"":""Relações Internacionais"",""vagas_regular"":20,""vagas_vestibulando"":0,""vagas"":20,""inscritos_regular"":12,""inscritos_vestibulando"":0,""inscritos"":12},{""codigo_curso"":""50"",""curso"":""Geofísica"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":4,""vagas_vestibulando"":0,""vagas"":4,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""117"",""curso"":""Administração Pública"",""vagas_regular"":7,""vagas_vestibulando"":0,""vagas"":7,""inscritos_regular"":4,""inscritos_vestibulando"":0,""inscritos"":4},{""codigo_curso"":""22"",""curso"":""Ciências Contábeis"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":5,""vagas_vestibulando"":2,""vagas"":7,""inscritos_regular"":3,""inscritos_vestibulando"":2,""inscritos"":5},{""codigo_curso"":""44"",""curso"":""Ciências Biológicas"",""vagas_regular"":4,""vagas_vestibulando"":0,""vagas"":4,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,GET00177,ESTATÍSTICA BÁSICA,A1,/graduacao/quadrodehorarios/turmas/100000449758,,Seg 09:00-11:00; Qua 09:00-11:00,Seg-Qua,CC,False,27;31;41;42;43;56;83,True,48,28,10,10,2,0,36,18,"[{""codigo_curso"":""56"",""curso"":""Eng. de Recursos Hídricos e Meio Ambiente"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""43"",""curso"":""Engenharia Agrícola e Ambiental"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":10,""vagas_vestibulando"":0,""vagas"":10,""inscritos_regular"":10,""inscritos_vestibulando"":0,""inscritos"":10},{""codigo_curso"":""42"",""curso"":""Engenharia de Produção"",""vagas_regular"":16,""vagas_vestibulando"":0,""vagas"":16,""inscritos_regular"":8,""inscritos_vestibulando"":0,""inscritos"":8},{""codigo_curso"":""27"",""curso"":""Engenharia Química"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
